
-----------------------------------------------------------------------------------------------
Trying to read PHITS file dump_dmp
opened binary PHITS dump file with contents:
    pdgcode   ekin[MeV]       x[cm]       y[cm]       z[cm]          ux          uy          uz    time[ns]      weight
      2112      199.98    -0.58984      2.6121          10   -0.030235     0.13423     0.99049      1.7794           1
      2112         200     0.42381    -0.81601          10    0.022775   -0.044262     0.99876      1.7698           1
      2112         200  -0.0059512   0.0012046          10           0          -0           1      1.7684           1
      2112         200   0.0059605  -0.0066347          10           0           0           1      1.7684           1
      2112         200   0.0023448   -0.006995          10          -0           0           1      1.7684           1
      2112     0.50817      4.0236    -0.30691          10    0.047117    -0.11454      0.9923      24.855     0.97051
      2112      1.3353    -0.71423      46.994          10    0.011443      0.9403     0.34015      32.479     0.98949
      2112      1.9875      3.3616      13.887          10     0.14749     0.61019     0.77841       12.42           1
      2112     0.81715      -10.46     -14.188          10    -0.31192    -0.66758     0.67605      25.108       0.955
      2112         200  -0.0012533  -0.0058097          10          -0           0           1      1.7684           1
      2112         200   -0.003043  -0.0018394          10           0           0           1      1.7684           1
      2112      2.4451      -15.82      11.343          10    -0.63436     0.44557     0.63171      12.666     0.98886
      2112      3.2914     -6.4873     -22.293          10    -0.21803     -0.7858     0.57877      12.171      0.9948
      2112     0.53852      5.8262      37.796          10     0.10472     0.90013     0.42284      46.001     0.98029
      2112      1.2664      16.217      8.5552          10     0.65019     0.34837     0.67519      16.452     0.99072
      2112      1.2283     -19.905     -7.7549          10    -0.71865    -0.36397     0.59251      20.413     0.98613
      2112    0.036949      1.7216     -5.0362          10    0.037479    -0.26013     0.96485      79.436     0.90397
      2112      1.9797      26.255      -15.88          10     0.77726    -0.38066     0.50096      19.223     0.97682
      2112     0.93866     -23.095     0.78081          10    -0.81291    0.038343     0.58113      22.251     0.99155
      2112         200   0.0057672   -0.007573          10           0           0           1      1.7684           1
      2112         200  0.00026553  -0.0098384          10           0           0           1      1.7684           1
      2112       42.77      17.072      2.9895          10     0.72448     0.12698      0.6775      3.5205           1
      2112      11.795     -21.576     -34.429          10    -0.49427    -0.78864     0.36571      10.103           1
      2112         200 -0.00028761  -0.0090149          10           0           0           1      1.7684           1
      2112         200  -0.0049566  0.00087266          10           0           0           1      1.7684           1
      2112       68.59      5.5958     0.69242          10     0.34625    0.041397     0.93723      2.3828           1
      2112         200  -0.0072411   -0.005631          10           0          -0           1      1.7684           1
      2112         200   0.0038908  -0.0046119          10           0           0           1      1.7684           1
      2112         200  -0.0086696   0.0043956          10          -0           0           1      1.7684           1
      2112     0.75143     -2.1436      2.6336          10     0.07679    0.062227      0.9951      19.619     0.95942
      2112      199.99    0.061328     -1.6379          10   0.0036553    -0.09224     0.99573      1.7729           1
      2112         200  -0.0061059   0.0046637          10           0          -0           1      1.7684           1
      2112      33.737     -1.7912     -7.1596          10   -0.092022    -0.41053     0.90719      3.0317           1
      2112     0.46228      8.4583      15.464          10     0.38265     0.62974     0.67602      25.538     0.99522
      2112     0.66257      6.4204      16.737          10      0.2778     0.68323     0.67529      22.485     0.98022
      2112      1.6355     -1.2665     -7.1486          10   -0.055868    -0.41203     0.90946       10.58     0.98666
      2112       1.954      0.8308     0.24609          10     0.20663   -0.028203     0.97801      9.2429           1
      2112      80.772     -9.8008      2.6916          10    -0.49533     0.13563     0.85805      2.4602           1
      2112      1.1248     -13.353     -7.0229          10    -0.40393    -0.39807     0.82364      20.408     0.94464
      2112      0.2301      13.272      1.6517          10     0.64939    0.014699     0.76032      40.302     0.96795
      2112     0.17598     0.96629      5.4915          10    0.096245     0.36428      0.9263      33.744     0.98658
      2112     0.60822     -15.963      44.401          10    -0.29798     0.89942     0.31977      49.269     0.97109
      2112      100.28      13.792     -3.5605          10     0.62846     -0.1622     0.76074       2.493           1
      2112      88.629     -11.211      9.2547          10    -0.50623     0.41804     0.75431      2.6022           1
      2112      64.064     -26.494      21.865          10    -0.70282      0.5798     0.41216      4.4297           1
      2112      34.898         -46      8.0703          10    -0.93428     0.16444     0.31636      7.0432           1
